Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 1259,168,2017,115,227,3,10,175,0,0,strong,little,VA Accountability First Act of 2017
H R 1181,169,2017,115,228,2,12,173,0,0,strong,little,Veterans 2nd Amendment Protection Act
H R 1367,171,2017,115,232,0,180,0,0,0,strong,strong,"To improve the authority of the Secretary of Veterans Affairs to hire and retain physicians and other employees of the Department of Veterans Affairs, and for other purposes."
H R 1294,173,2017,115,227,0,181,0,0,0,strong,strong,Reducing DHS Acquisition Cost Growth Act
H R 1252,175,2017,115,225,1,182,0,0,0,strong,strong,DHS Acquisition Authorities Act of 2017
H R 1297,181,2017,115,232,0,183,0,0,0,strong,strong,Quadrennial Homeland Security Review Technical Corrections Act of 2017
H R 372,184,2017,115,235,0,181,7,0,0,strong,strong,Competitive Health Insurance Reform Act of 2017
H R 1101,186,2017,115,232,0,4,175,0,0,strong,little,Small Business Health Fairness Act of 2017
H R 1238,187,2017,115,229,6,177,0,0,0,strong,strong,Securing our Agriculture and Food Act
H R 1365,193,2017,115,236,0,188,0,0,0,strong,strong,Department of Homeland Security Acquisition Innovation Act
H R 1117,195,2017,115,225,0,183,0,0,0,strong,strong,To require the Administrator of the Federal Emergency Management Agency to submit a report regarding certain plans regarding assistance to applicants and grantees during the response to an emergency or disaster.
H R 1430,206,2017,115,225,7,3,187,0,0,strong,little,Honest and Open New EPA Science Treatment Act of
H R 1431,208,2017,115,227,5,2,188,0,0,strong,little,EPA Science Advisory Board Reform Act of 2017
H R 479,210,2017,115,221,1,173,0,0,0,strong,strong,North Korea State Sponsor of Terrorism Designation Act of 2017
H R 1343,216,2017,115,229,1,102,86,0,0,strong,moderate,Encouraging Employee Ownership Act of 2017
H R 1304,220,2017,115,230,0,170,16,0,0,strong,strong,Self-Insurance Protection Act
H R 1695,227,2017,115,233,2,145,46,0,0,strong,strong,Register of Copyrights Selection and Accountability Act of 2017
S 496,231,2017,115,229,0,188,3,0,0,strong,strong,"A bill to repeal the rule issued by the Federal Highway Administration and the Federal Transit Administration entitled ""Metropolitan Planning Organization Coordination and Planning Area Reform""."
H R 1312,238,2017,115,223,0,183,0,0,0,strong,strong,Small Business Capital Formation Enhancement Act
H R 657,239,2017,115,223,0,184,0,0,0,strong,strong,Follow the Rules Act
H R 1679,242,2017,115,230,0,189,0,0,0,strong,strong,"FEMA Accountability, Modernization and Transparency Act of 2017"
H R 1180,244,2017,115,229,6,0,191,0,0,strong,none,Working Families Flexibility Act of 2017
H R 1665,248,2017,115,233,0,192,0,0,0,strong,strong,Disaster Declaration Improvement Act
H R 244,249,2017,115,131,103,178,15,0,0,moderate,strong,"Consolidated Appropriations Act, 2017"
H R 1678,250,2017,115,232,0,191,0,0,0,strong,strong,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act concerning the statute of limitations for actions to recover disaster or emergency assistance payments, and for other purposes."
H R 1628,256,2017,115,217,20,0,193,0,0,strong,none,American Health Care Act of 2017
H R 1644,257,2017,115,232,1,187,0,0,0,strong,strong,Korean Interdiction and Modernization of Sanctions Act
H R 1616,258,2017,115,224,3,184,0,0,0,strong,strong,Strengthening State and Local Cyber Crime Fighting Act of 2017
H R 1177,262,2017,115,231,1,187,0,0,0,strong,strong,Removing Outdated Restrictions to Allow for Job Growth Act
H R 115,265,2017,115,223,4,48,139,0,0,strong,little,Thin Blue Line Act
H R 1039,268,2017,115,192,33,37,144,0,0,strong,little,Probation Officer Protection Act of 2017
H R 1862,269,2017,115,219,2,153,28,0,0,strong,strong,Global Child Protection Act of 2017
H R 1842,270,2017,115,218,2,153,28,0,0,strong,strong,Strengthening Children's Safety Act of 2017
H R 467,278,2017,115,230,0,189,0,0,0,strong,strong,VA Scheduling Accountability Act
H R 953,282,2017,115,231,1,25,164,0,0,strong,little,Reducing Regulatory Burdens Act of 2017
H R 1761,284,2017,115,231,2,137,49,0,0,strong,strong,Protecting Against Child Exploitation Act of 2017
H R 1973,285,2017,115,231,2,184,1,0,0,strong,strong,Protecting Young Victims from Sexual Abuse Act of 2017
H R 2292,300,2017,115,222,1,178,0,0,0,strong,strong,To extend a project of the Federal Energy Regulatory Commission involving the Cannonsville Dam.
H R 2457,301,2017,115,221,1,181,0,0,0,strong,strong,J. Bennett Johnston Waterway Hydropower Extension Act of 2017
H R 2581,306,2017,115,231,1,7,183,0,0,strong,little,Verify First Act
S 1094,307,2017,115,231,1,137,54,0,0,strong,strong,Department of Veterans Affairs Accountability and Whistleblower Protection Act of 2017
H R 2579,308,2017,115,226,0,41,144,0,0,strong,little,Broader Options for Americans Act
H R 2847,309,2017,115,217,8,174,0,0,0,strong,strong,Improving Services for Older Youth in Foster Care Act
H R 2866,310,2017,115,206,19,176,0,0,0,strong,strong,Reducing Unnecessary Barriers for Relative Foster Parents Act
H R 1873,315,2017,115,231,0,69,118,0,0,strong,moderate,Electricity Reliability and Forest Protection Act
H R 1654,319,2017,115,225,5,8,175,0,0,strong,little,Water Supply Permitting Coordination Act
H R 2842,322,2017,115,214,13,163,21,0,0,strong,strong,Accelerating Individuals into the Workforce Act
H R 2547,323,2017,115,228,0,181,0,0,0,strong,strong,Veterans Expanded Trucking Opportunities Act of 2017
H R 2258,324,2017,115,228,0,181,0,0,0,strong,strong,ADVANCE Act
H R 497,329,2017,115,235,0,189,0,0,0,strong,strong,Santa Ana River Wash Plan Land Exchange Act
H R 220,330,2017,115,235,1,189,0,0,0,strong,strong,"To authorize the expansion of an existing hydroelectric project, and for other purposes."
H R 1215,337,2017,115,218,19,0,191,0,0,strong,none,Protecting Access to Care Act of 2017
H R 1500,338,2017,115,233,0,190,0,0,0,strong,strong,Robert Emmet Park Act of 2017
H R 3003,342,2017,115,225,7,3,188,0,0,strong,little,No Sanctuary for Criminals Act
H R 3004,344,2017,115,233,1,24,166,0,0,strong,little,Kate's Law
H R 1397,345,2017,115,226,0,180,0,0,0,strong,strong,"To authorize, direct, facilitate, and expedite the transfer of administrative jurisdiction of certain Federal land, and for other purposes."
H R 1719,346,2017,115,216,15,185,0,0,0,strong,strong,John Muir National Historic Site Expansion Act
H R 1492,349,2017,115,230,2,186,0,0,0,strong,strong,Medical Controlled Substances Transportation Act of 2017
H R 23,352,2017,115,226,7,4,183,0,0,strong,little,Gaining Responsibility on Water Act of 2017
H R 2210,379,2017,115,224,0,177,0,0,0,strong,strong,"To designate the community living center of the Department of Veterans Affairs in Butler Township, Butler County, Pennsylvania, as the ""Sergeant Joseph George Kusick VA Community Living Center""."
H R 806,391,2017,115,225,11,4,188,0,0,strong,little,Ozone Standards Implementation Act of 2017
H R 2910,402,2017,115,235,1,13,178,0,0,strong,little,Promoting Interagency Coordination for Review of Natural Gas Pipelines Act
H R 2825,403,2017,115,227,9,159,32,0,0,strong,strong,DHS Authorization Act
H R 218,406,2017,115,233,3,15,176,0,0,strong,little,King Cove Road Land Exchange Act
H R 3218,409,2017,115,221,0,184,0,0,0,strong,strong,Harry W. Colmery Veterans Educational Assistance Act of 2017
H R 3364,413,2017,115,229,3,190,0,0,0,strong,strong,Countering America's Adversaries Through Sanctions Act
H R 3219,435,2017,115,230,5,5,187,0,0,strong,little,"Make America Secure Appropriations Act, 2018"
H R 3180,437,2017,115,223,6,157,29,0,0,strong,strong,Intelligence Authorization Act for Fiscal Year 2018
S 114,438,2017,115,228,0,186,0,0,0,strong,strong,VA Choice and Quality Employment Act of 2017
H R 3110,439,2017,115,226,1,181,0,0,0,strong,strong,Financial Stability Oversight Council Insurance Member Continuity Act
H R 2864,440,2017,115,225,2,178,1,0,0,strong,strong,Improving Access to Capital Act
H R 601,480,2017,115,133,90,183,0,0,0,moderate,strong,"Continuing Appropriations Act, 2018 and Supplemental Appropriations for Disaster Relief Requirements Act, 2017"
H R 2611,485,2017,115,214,0,176,0,0,0,strong,strong,Little Rock Central High School National Historic Site Boundary Modification Act
H R 3697,517,2017,115,222,1,11,174,0,0,strong,little,Criminal Alien Gang Member Removal Act
H R 3354,528,2017,115,210,14,1,184,0,0,strong,little,"Interior and Environment, Agriculture and Rural Development, Commerce, Justice, Science, Financial Services and General Government, Homeland Security, Labor, Health and Human Services, Education, State and Foreign Operations, Transportation, Housing and Urban Development, Defense, Military Construction and Veterans Affairs, Legislative Branch, and Energy and Water Development Appropriations Act, 2018"
H R 3284,529,2017,115,216,4,182,0,0,0,strong,strong,Joint Counterterrorism Awareness Workshop Series Act of 2017
H R 2824,537,2017,115,212,20,2,189,0,0,strong,little,Increasing Opportunity and Success for Children and Parents through Evidence-Based Home Visiting Act
H R 3823,542,2017,115,221,7,43,148,0,0,strong,little,Disaster Tax Relief and Airport and Airway Extension Act of 2017
H R 2792,543,2017,115,223,3,21,168,0,0,strong,little,Control Unlawful Fugitive Felons Act of 2017
H R 965,545,2017,115,229,0,172,0,0,0,strong,strong,Saint-Gaudens National Historical Park Redesignation Act
H R 36,549,2017,115,234,2,3,187,0,0,strong,little,Pain-Capable Unborn Child Protection Act
S 782,550,2017,115,231,2,186,1,0,0,strong,strong,PROTECT Our Children Act of 2017
H R 1858,558,2017,115,222,0,175,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 4514 Williamson Trail in Liberty, Pennsylvania, as the ""Staff Sergeant Ryan Scott Ostrom Post Office""."
H R 2464,559,2017,115,220,0,175,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 25 New Chardon Street Lobby in Boston, Massachusetts, as the ""John Fitzgerald Kennedy Post Office""."
H R 452,562,2017,115,227,0,191,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 324 West Saint Louis Street in Pacific, Missouri, as the ""Specialist Jeffrey L. White, Jr. Post Office""."
H R 3243,563,2017,115,227,0,191,0,0,0,strong,strong,FITARA Enhancement Act of 2017
S 585,568,2017,115,232,0,188,0,0,0,strong,strong,Dr. Chris Kirkpatrick Whistleblower Protection Act of 2017
H R 3551,569,2017,115,222,1,180,0,0,0,strong,strong,C-TPAT Reauthorization Act of 2017
S 504,570,2017,115,220,2,181,0,0,0,strong,strong,Asia-Pacific Economic Cooperation Business Travel Cards Act of 2017
H R 732,580,2017,115,231,0,7,183,0,0,strong,little,Stop Settlement Slush Funds Act of 2017
H R 3898,581,2017,115,228,2,187,0,0,0,strong,strong,Otto Warmbier North Korea Nuclear Sanctions Act
H R 469,588,2017,115,232,0,2,187,0,0,strong,little,Congressional Article I Powers Strengthening Act
H R 1698,590,2017,115,232,2,191,0,0,0,strong,strong,Iran Ballistic Missiles and International Sanctions Enforcement Act
H R 2521,591,2017,115,218,0,176,1,0,0,strong,strong,South Carolina Peanut Parity Act of 2017
H R 2936,598,2017,115,222,9,10,179,0,0,strong,little,Resilient Federal Forests Act of 2017
H R 3903,599,2017,115,232,0,187,0,0,0,strong,strong,Encouraging Public Offerings Act of 2017
H R 849,604,2017,115,231,0,76,111,0,0,strong,moderate,Protecting Seniors Access to Medicare Act
H R 3922,606,2017,115,227,3,15,171,0,0,strong,little,"Continuing Community Health And Medical Professional Programs to Improve Our Nation, Increase National Gains, and Help Ensure Access for Little Ones, Toddlers, and Hopeful Youth by Keeping Insurance Delivery Stable Act of 2017"
H R 3562,607,2017,115,223,0,177,0,0,0,strong,strong,"To amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to furnish assistance for adaptations of residences of veterans in rehabilitation programs under chapter 31 of such title, and for other purposes."
H R 1066,608,2017,115,223,0,176,0,0,0,strong,strong,VA Management Alignment Act of 2017
H R 3441,614,2017,115,234,0,8,181,0,0,strong,little,Save Local Business Act
H R 3911,615,2017,115,232,1,157,31,0,0,strong,strong,Risk-Based Credit Examination Act
H R 4173,618,2017,115,230,0,190,0,0,0,strong,strong,Veterans Crisis Line Study Act of 2017
H R 3043,620,2017,115,231,3,26,163,0,0,strong,little,Hydropower Policy Modernization Act of 2017
H R 3705,621,2017,115,233,0,189,0,0,0,strong,strong,Veterans Fair Debt Notice Act of 2017
H R 2201,622,2017,115,232,1,0,187,0,0,strong,none,Micro Offering Safe Harbor Act
H R 3071,624,2017,115,221,0,175,0,0,0,strong,strong,Federal Acquisition Savings Act of 2017
H R 2874,630,2017,115,222,14,15,175,0,0,strong,little,21st Century Flood Reform Act
H R 2810,631,2017,115,229,7,127,63,0,0,strong,moderate,National Defense Authorization Act for Fiscal Year 2018
H R 2331,634,2017,115,234,0,189,0,0,0,strong,strong,Connected Government Act
H R 3821,635,2017,115,230,0,190,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 430 Main Street in Clermont, Georgia, as the ""Zack T. Addington Post Office""."
H R 2672,636,2017,115,231,0,192,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 520 Carter Street in Fairview, Illinois, as the ""Sgt. Douglas J. Riney Post Office""."
H R 2768,638,2017,115,225,0,184,0,0,0,strong,strong,Fowler and Boskoff Peaks Designation Act
H R 3115,639,2017,115,220,4,89,95,0,0,strong,moderate,Superior National Forest Land Exchange Act of 2017
H R 3905,643,2017,115,208,22,8,182,0,0,strong,little,Minnesota's Economic Rights in the Superior National Forest Act
H R 4182,648,2017,115,211,18,2,186,0,0,strong,little,EQUALS Act of 2017
H R 3017,649,2017,115,220,8,189,0,0,0,strong,strong,"Brownfields Enhancement, Economic Redevelopment, and Reauthorization Act of 2017"
H R 1699,651,2017,115,229,1,27,162,0,0,strong,little,Preserving Access to Manufactured Housing Act of 2017
H R 3731,655,2017,115,229,4,178,0,0,0,strong,strong,Secret Service Recruitment and Retention Act of 2018
H R 3317,656,2017,115,228,0,181,0,0,0,strong,strong,SAFE Act of 2017
S 1266,661,2017,115,237,0,186,0,0,0,strong,strong,Enhancing Veteran Care Act
H R 38,663,2017,115,225,14,6,184,0,0,strong,little,Concealed Carry Reciprocity Act of 2017
H R 477,669,2017,115,238,0,188,0,0,0,strong,strong,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2017"
H R 2658,671,2017,115,206,29,182,0,0,0,strong,strong,Venezuela Humanitarian Assistance and Defense of Democratic Governance Act of 2017
H R 2706,672,2017,115,222,0,173,2,0,0,strong,strong,Financial Institution Customer Protection Act of 2017
H R 1730,673,2017,115,222,2,180,0,0,0,strong,strong,Protecting Religiously Affiliated Institutions Act of 2017
H R 3971,675,2017,115,234,1,60,128,0,0,strong,little,Community Institution Mortgage Relief Act of 2017
H R 1638,680,2017,115,233,3,56,132,0,0,strong,little,Iranian Leadership Asset Transparency Act
H R 2396,682,2017,115,231,2,44,144,0,0,strong,little,Privacy Notification Technical Clarification Act
H R 4324,684,2017,115,229,4,23,163,0,0,strong,little,Strengthening Oversight of Iran's Access to Finance Act
H R 4375,686,2017,115,208,9,168,0,0,0,strong,strong,STEM Research and Education Effectiveness and Transparency Act
H R 3979,687,2017,115,202,14,169,0,0,0,strong,strong,Keep America's Refuges Operational Act
H R 4254,690,2017,115,220,16,189,1,0,0,strong,strong,Women in Aerospace Education Act
H R 4323,693,2017,115,232,1,188,0,0,0,strong,strong,Supporting Veterans in STEM Careers Act
H R 3312,694,2017,115,229,2,59,128,0,0,strong,little,Systemic Risk Designation Improvement Act of 2017
S 1536,695,2017,115,230,1,188,0,0,0,strong,strong,Combating Human Trafficking in Commercial Vehicles Act
H R 1,699,2017,115,224,12,0,189,0,0,strong,none,An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.
H R 1159,700,2017,115,227,0,184,0,0,0,strong,strong,United States and Israel Space Cooperation Act
H R 4015,702,2017,115,226,6,12,176,0,0,strong,little,Corporate Governance Reform and Transparency Act of 2017
S 1393,706,2017,115,231,0,187,0,0,0,strong,strong,Jobs for Our Heroes Act
H R 1370,708,2017,115,217,16,14,172,0,0,strong,little,"An Act to amend the Homeland Security Act of 2002 to require the Secretary of Homeland Security to issue Department of Homeland Security-wide guidance and develop training programs as part of the Department of Homeland Security Blue Campaign, and for other purposes."
H R 4667,709,2017,115,182,51,69,118,0,0,strong,moderate,"Making further supplemental appropriations for the fiscal year ending September 30, 2018, for disaster assistance for Hurricanes Harvey, Irma, and Maria, and calendar year 2017 wildfires, and for other purposes."
S 1532,710,2017,115,221,0,172,0,0,0,strong,strong,No Human Trafficking on Our Roads Act
H R 4564,3,2018,115,235,0,178,0,0,0,strong,strong,Post-Caliphate Threat Assessment Act of 2017
H R 4581,4,2018,115,234,1,181,0,0,0,strong,strong,Screening and Vetting Passenger Exchange Act of 2017
S 140,11,2018,115,216,15,23,158,0,0,strong,little,Frank LoBiondo Coast Guard Authorization Act of 2018
H R 4567,12,2018,115,232,0,183,0,0,0,strong,strong,DHS Overseas Personnel Enhancement Act of 2017
S 139,16,2018,115,191,45,65,119,0,0,strong,moderate,FISA Amendments Reauthorization Act of 2017
H R 4578,17,2018,115,228,2,182,0,0,0,strong,strong,Counter Terrorist Network Act
H R 4318,18,2018,115,222,0,180,0,0,0,strong,strong,Miscellaneous Tariff Bill Act of 2018
S 117,19,2018,115,219,3,181,0,0,0,strong,strong,Alex Diekmann Peak Designation Act of 2017
H R 4258,22,2018,115,224,5,188,0,0,0,strong,strong,Family Self-Sufficiency Act
H R 3326,24,2018,115,216,16,21,168,0,0,strong,little,World Bank Accountability Act of 2017
H R 4279,25,2018,115,230,1,188,1,0,0,strong,strong,Expanding Investment Opportunities Act
H R 1660,34,2018,115,231,3,192,0,0,0,strong,strong,Global Health Innovation Act of 2017
H R 4712,36,2018,115,235,0,6,183,0,0,strong,little,Born-Alive Abortion Survivors Protection Act
H R 195,44,2018,115,221,6,45,144,0,0,strong,little,"Making further continuing appropriations for the fiscal year ending September 30, 2018, and for other purposes."
S 534,45,2018,115,225,3,181,0,0,0,strong,strong,Protecting Young Victims from Sexual Abuse and Safe Sport Authorization Act of 2017
H R 1457,46,2018,115,219,8,178,0,0,0,strong,strong,MOBILE Act of 2017
H R 4547,51,2018,115,225,0,171,0,0,0,strong,strong,Strengthening Protections for Social Security Beneficiaries Act of 2018
H R 772,56,2018,115,234,1,32,156,0,0,strong,little,Common Sense Nutrition Disclosure Act of 2017
H R 3851,61,2018,115,224,0,183,0,0,0,strong,strong,War Crimes Rewards Expansion Act
H R 1997,62,2018,115,220,3,184,0,0,0,strong,strong,Ukraine Cybersecurity Cooperation Act of 2017
H R 1153,64,2018,115,228,0,52,131,0,0,strong,little,Mortgage Choice Act of 2017
H R 4771,66,2018,115,230,0,50,139,0,0,strong,little,Small Bank Holding Company Relief Act of 2018
H R 4533,70,2018,115,220,0,182,0,0,0,strong,strong,"To designate the health care system of the Department of Veterans Affairs in Lexington, Kentucky, as the ""Lexington VA Health Care System"" and to make certain other designations."
H R 4979,71,2018,115,217,2,183,0,0,0,strong,strong,To extend the Generalized System of Preferences and to make technical changes to the competitive need limitations provision of the program.
H R 3978,77,2018,115,228,1,43,144,0,0,strong,little,TRID Improvement Act of 2017
H R 3299,78,2018,115,229,1,16,170,0,0,strong,little,Protecting Consumers' Access to Credit Act of 2017
H R 620,80,2018,115,213,19,12,173,0,0,strong,little,ADA Education and Reform Act of 2017
H R 4296,89,2018,115,226,3,19,166,0,0,strong,little,To place requirements on operational risk capital requirements for banking organizations established by an appropriate Federal banking agency.
H R 3183,92,2018,115,225,0,164,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 13683 James Madison Highway in Palmyra, Virginia, as the ""U.S. Navy Seaman Dakota Kyle Rigsby Post Office""."
H R 4607,95,2018,115,226,0,38,143,0,0,strong,little,Comprehensive Regulatory Review Act
H R 1119,101,2018,115,210,14,5,175,0,0,strong,little,Satisfying Energy Needs and Saving the Environment Act
H R 4465,103,2018,115,222,6,170,0,0,0,strong,strong,Endangered Fish Recovery Programs Extension Act of 2017
H R 1116,108,2018,115,231,1,16,168,0,0,strong,little,Taking Account of Institutions with Low Operation Risk Act of 2017
H R 4545,112,2018,115,231,1,52,132,0,0,strong,little,Financial Institutions Examination Fairness and Reform Act
H R 835,115,2018,115,220,3,165,0,0,0,strong,strong,"To update the map of, and modify the maximum acreage available for inclusion in, the Florissant Fossil Beds National Monument."
H R 4566,119,2018,115,233,0,162,19,0,0,strong,strong,Alleviating Stress Test Burdens to Help Investors Act
H R 5247,121,2018,115,232,2,35,147,0,0,strong,little,"Trickett Wendler, Frank Mongiello, Jordan McLinn, and Matthew Bellina Right to Try Act of 2018"
H R 1625,127,2018,115,145,90,111,77,0,0,moderate,moderate,"Consolidated Appropriations Act, 2018"
H R 4467,128,2018,115,230,0,178,0,0,0,strong,strong,Strengthening Aviation Security Act of 2018
H R 4203,131,2018,115,226,2,183,0,0,0,strong,strong,Combat Online Predators Act
H R 4061,135,2018,115,231,1,66,120,0,0,strong,moderate,Financial Stability Oversight Council Improvement Act of 2017
H R 4293,137,2018,115,232,1,13,173,0,0,strong,little,Stress Test Improvement Act of 2017
H R 4790,139,2018,115,222,1,78,103,0,0,strong,moderate,Volcker Rule Regulatory Harmonization Act
H R 146,140,2018,115,215,2,168,0,0,0,strong,strong,Eastern Band of Cherokee Historic Lands Reacquisition Act
S 167,141,2018,115,216,1,168,0,0,0,strong,strong,National Memorial to Fallen Educators Act
H R 5192,142,2018,115,230,1,190,0,0,0,strong,strong,Protecting Children from Identity Theft Act
H R 5445,145,2018,115,225,3,189,0,0,0,strong,strong,21st Century IRS Act
H R 5444,146,2018,115,227,0,187,0,0,0,strong,strong,Taxpayer First Act
H R 2905,147,2018,115,219,2,184,1,0,0,strong,strong,Justice for Victims of IRS Scams and Identity Theft Act of 2018
H R 5086,149,2018,115,199,16,180,0,0,0,strong,strong,Innovators to Entrepreneurs Act of 2018
H R 3144,153,2018,115,217,8,8,181,0,0,strong,little,"To provide for operations of the Federal Columbia River Power System pursuant to a certain operation plan for a specified period of time, and for other purposes."
H R 5447,154,2018,115,227,0,188,0,0,0,strong,strong,Music Modernization Act
H R 4744,161,2018,115,224,2,186,0,0,0,strong,strong,Iran Human Rights and Hostage-Taking Accountability Act
H R 4910,167,2018,115,218,0,170,0,0,0,strong,strong,Veterans Cemetery Benefit Correction Act
H R 4335,168,2018,115,217,0,172,0,0,0,strong,strong,Servicemember Family Burial Act
H R 2152,175,2018,115,219,8,2,189,0,0,strong,little,Citizens' Right to Know Act of 2018
H R 5645,177,2018,115,226,1,4,184,0,0,strong,little,Standard Merger and Acquisition Reviews Through Equal Rules Act of 2018
H R 3053,179,2018,115,221,5,119,67,0,0,strong,moderate,Nuclear Waste Policy Amendments Act of 2018
H R 613,181,2018,115,214,0,164,0,0,0,strong,strong,Lieutenant Osvaldo Albarati Correctional Officer Self-Protection Act of 2017
S 35,187,2018,115,223,0,184,0,0,0,strong,strong,Black Hills National Cemetery Boundary Expansion Act
H R 5698,188,2018,115,220,11,162,24,0,0,strong,strong,Protect and Serve Act of 2018
S 2372,189,2018,115,231,0,116,70,0,0,strong,moderate,VA MISSION Act of 2018
H R 4830,207,2018,115,212,0,170,0,0,0,strong,strong,SIT-REP Act
H R 4451,208,2018,115,210,0,167,1,0,0,strong,strong,Homeless Veterans' Reintegration Programs Reauthorization Act of 2018
H R 3832,209,2018,115,208,2,169,0,0,0,strong,strong,Veterans Opioid Abuse Prevention Act
S 204,214,2018,115,228,0,22,169,0,0,strong,little,"Trickett Wendler, Frank Mongiello, Jordan McLinn, and Matthew Bellina Right to Try Act of 2017"
S 2155,216,2018,115,225,1,33,158,0,0,strong,little,"Economic Growth, Regulatory Relief, and Consumer Protection Act"
H R 5005,231,2018,115,212,5,162,0,0,0,strong,strong,"To direct the Secretary of the Interior to conduct a special resource study to determine the suitability and feasibility of establishing the birthplace of James Weldon Johnson in Jacksonville, Florida, as a unit of the National Park System."
H R 2991,232,2018,115,211,9,162,0,0,0,strong,strong,Susquehanna National Heritage Area Act
H R 5655,233,2018,115,214,4,162,0,0,0,strong,strong,Camp Nelson National Monument Act
H R 3249,239,2018,115,216,13,178,0,0,0,strong,strong,Project Safe Neighborhoods Grant Program Authorization Act of 2018
H R 5041,259,2018,115,219,0,179,0,0,0,strong,strong,Safe Disposal of Unused Medication Act
H R 5890,263,2018,115,222,3,184,0,0,0,strong,strong,Assisting States' Implementation of Plans of Safe Care Act
H R 5891,264,2018,115,223,8,186,0,0,0,strong,strong,Improving the Federal Response to Families Impacted by Substance Use Disorder Act
H R 5788,265,2018,115,222,3,131,49,0,0,strong,strong,STOP Act of 2018
H R 5735,266,2018,115,218,7,12,166,0,0,strong,little,THRIVE Act
H R 2851,268,2018,115,197,12,42,130,0,0,strong,little,SITSA Act
H R 5687,269,2018,115,190,13,152,0,0,0,strong,strong,SOUND Disposal and Packaging Act
H R 5676,270,2018,115,203,3,153,0,0,0,strong,strong,Stop Excessive Narcotics in our Retirement Communities Protection Act of 2018
H R 5797,276,2018,115,211,15,50,140,0,0,strong,little,Individuals in Medicaid Deserve Care that is Appropriate and Responsible in its Execution Act
H R 4760,282,2018,115,193,41,0,190,0,0,strong,none,Securing America's Future Act of 2018
H R 299,289,2018,115,221,0,161,0,0,0,strong,strong,Blue Water Navy Vietnam Veterans Act of 2018
H R 5783,290,2018,115,217,4,162,0,0,0,strong,strong,Cooperate with Law Enforcement Agencies and Watch Act of 2018
H R 4294,293,2018,115,216,2,176,0,0,0,strong,strong,Prevention of Private Information Dissemination Act of 2017
H R 2083,294,2018,115,220,5,68,111,0,0,strong,moderate,Endangered Salmon and Fisheries Predation Prevention Act
H R 5841,295,2018,115,222,2,178,0,0,0,strong,strong,Foreign Investment Risk Review Modernization Act of 2018
H R 6136,297,2018,115,121,112,0,189,0,0,moderate,none,Border Security and Immigration Reform Act of 2018
H R 5793,314,2018,115,195,19,173,0,0,0,strong,strong,Housing Choice Voucher Mobility Demonstration Act of 2018
H R 5749,315,2018,115,213,0,172,0,0,0,strong,strong,Options Markets Stability Act
H R 200,321,2018,115,213,15,9,178,0,0,strong,little,Strengthening Fishing Communities and Increasing Flexibility in Fisheries Management Act
H R 3281,325,2018,115,224,6,9,178,0,0,strong,little,Reclamation Title Transfer and Non-Federal Infrastructure Incentivization Act
H R 6237,326,2018,115,222,8,141,46,0,0,strong,strong,Matthew Young Pollard Intelligence Authorization Act for Fiscal Years 2018 and 2019
H R 50,328,2018,115,220,0,10,168,0,0,strong,little,Unfunded Mandates Information and Transparency Act of 2018
H R 4946,329,2018,115,211,0,157,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 1075 North Tustin Street in Orange, California, as the ""Specialist Trevor A. Win'E Post Office""."
H R 4960,330,2018,115,212,0,156,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 511 East Walnut Street in Columbia, Missouri, as the ""Spc. Sterling William Wyatt Post Office Building""."
S 488,333,2018,115,227,2,179,2,0,0,strong,strong,JOBS and Investor Confidence Act of 2018
H R 3030,334,2018,115,224,5,182,0,0,0,strong,strong,Elie Wiesel Genocide and Atrocities Prevention Act of 2018
H R 4989,335,2018,115,227,0,185,0,0,0,strong,strong,Protecting Diplomats from Surveillance Through Consumer Devices Act
H R 1037,338,2018,115,228,0,186,0,0,0,strong,strong,"To authorize the National Emergency Medical Services Memorial Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes."
H R 2345,366,2018,115,211,1,168,0,0,0,strong,strong,National Suicide Hotline Improvement Act of 2018
H R 4881,367,2018,115,210,4,168,0,0,0,strong,strong,Precision Agriculture Connectivity Act of 2018
H R 184,372,2018,115,226,1,57,131,0,0,strong,little,Protect Medical Innovation Act of 2018
S 1182,373,2018,115,179,51,187,1,0,0,strong,strong,National Flood Insurance Program Extension Act of 2018
H R 5864,374,2018,115,229,0,188,0,0,0,strong,strong,VA Hospitals Establishing Leadership Performance Act
H R 6311,376,2018,115,230,1,12,175,0,0,strong,little,Increasing Access to Lower Premium Plans and Expanding Health Savings Accounts Act of 2018
